Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
718;1014800_1;WK168003;92;;None
719;1014850_2;WK168003;8;;None
720;A047047;WK168003;4;;None
721;A047048;WK168003;4;;None
722;A047051;WK168003;0;;None
723;ZW25808;WK168003;90;;None
724;ZW25807;WK168003;10;;None
725;M000200_2;WK168003;70;;None
726;301000;WK168003;5;;None
727;300003;WK168003;15;;None
728;300005;WK168003;5;;None
729;383105;WK168003;5;;None
730;300009;WK168003;5;;None
731;300010;WK168003;15;;None
732;300012;WK168003;20;;None
733;300014;WK168003;5;;None
734;A018943_2;WK168003;265;;None
735;A019276;WK168003;195;;None
736;D001045;WK168003;70;;None
737;M000368;WK168003;1,5;;None
738;A018943_4;WK168003;29;;None
739;A018944;WK168003;30;;None
740;T001455_2;WK168003;914;;None
741;A047044;WK168003;905;;None
742;A047040;WK168003;9;;None
743;ST0001;WK168003;5;;None
744;ST0003;WK168003;54;;None
745;GM000C;BU16800300;;Aa en Hunze                             ;None
746;R00003;BU16800300;;Buurt     ;None
747;R00004;BU16800300;;BU16800300;None
748;M000125;BU16800300;;1;None
749;T001036;BU16800300;375;;None
750;3000;BU16800300;195;;None
751;4000;BU16800300;185;;None
752;10680;BU16800300;25;;None
753;53050;BU16800300;35;;None
754;53310;BU16800300;50;;None
755;53715;BU16800300;150;;None
756;80200;BU16800300;120;;None
757;1010;BU16800300;120;;None
758;1020;BU16800300;200;;None
759;1080;BU16800300;45;;None
760;1050;BU16800300;15;;None
761;2012655;BU16800300;40;;None
762;2012657_2;BU16800300;0;;None
763;H008673;BU16800300;0;;None
764;H007119;BU16800300;0;;None
765;H008751;BU16800300;0;;None
766;H008766;BU16800300;0;;None
767;A008187;BU16800300;0;;None
768;1050010_2;BU16800300;170;;None
769;1050015;BU16800300;40;;None
770;1016040;BU16800300;85;;None
771;1016030;BU16800300;45;;None
772;M000114;BU16800300;2,2;;None
773;M000100;BU16800300;699;;None
774;M000297;BU16800300;176;;None
775;M001642;BU16800300;399;;None
776;ZW10290;BU16800300;97;;None
777;ZW10340;BU16800300;3;;None
778;A028725;BU16800300;96;;None
779;A028726;BU16800300;4;;None
780;1014800_1;BU16800300;93;;None
781;1014850_2;BU16800300;7;;None
782;A047047;BU16800300;4;;None
783;A047048;BU16800300;3;;None
784;A047051;BU16800300;0;;None
