name,latitude,longitude,postal_code,city,country
,50.9261518,5.6206958,3620,Lanaken,België / Belgique / Belgien
,50.9165001,5.6658143,3620,Lanaken,België / Belgique / Belgien
,50.9038549,5.6341797,3620,Lanaken,België / Belgique / Belgien
,50.9052430,5.6322579,3620,Lanaken,België / Belgique / Belgien
,50.9225838,5.6064841,3690,Zutendaal,België / Belgique / Belgien
,50.9078990,5.7918858,6235 NV,Ulestraten,Nederland
,50.8230671,5.6961406,6212 NB,Maastricht,Nederland
,50.8614481,5.7937373,6325 CN,Vilt,Nederland
,50.9251890,5.6913342,3621,Lanaken,België / Belgique / Belgien
,50.9251651,5.6914446,3621,Lanaken,België / Belgique / Belgien
,50.9251414,5.6915582,3621,Lanaken,België / Belgique / Belgien
,50.9251177,5.6916702,3621,Lanaken,België / Belgique / Belgien
,50.9228062,5.6940091,3621,Lanaken,België / Belgique / Belgien
,50.9228924,5.6945556,3621,Lanaken,België / Belgique / Belgien
,50.9236262,5.6932067,3621,Lanaken,België / Belgique / Belgien
,50.9006812,5.6558911,3620,Lanaken,België / Belgique / Belgien
,50.8560029,5.7231602,6225 XX,Maastricht,Nederland
,50.8561699,5.7241514,6225 XP,Maastricht,Nederland
,50.8979933,5.7015351,6223 HD,Maastricht,Nederland
,50.8225360,5.7004946,6229 XX,Maastricht,Nederland
,50.8235870,5.6999641,6229 XX,Maastricht,Nederland
,50.8673780,5.7911003,6325 PM,Vilt,Nederland
,50.8676461,5.7900339,6325 PM,Vilt,Nederland
,50.8358365,5.7132017,6229 HX,Maastricht,Nederland
,50.8357970,5.7134867,6229 HX,Maastricht,Nederland
,50.8358730,5.7136816,6229 HX,Maastricht,Nederland
,50.8575168,5.7243832,6225 XP,Maastricht,Nederland
,50.8327142,5.7083361,6229 HB,Maastricht,Nederland
,50.7876012,5.6916190,4600,Visé,België / Belgique / Belgien
,50.8465288,5.6094175,3740,Bilzen,België / Belgique / Belgien
,50.8604126,5.5764779,3740,Bilzen,België / Belgique / Belgien
,50.8498915,5.7322736,6226 WX,Maastricht,Nederland
,50.8510207,5.7324291,6226 WX,Maastricht,Nederland
,50.8327853,5.6562325,6213 JA,Maastricht,Nederland
,50.8330789,5.6555515,6213 JC,Maastricht,Nederland
,50.7847736,5.7284406,6245 LZ,Eijsden,Nederland
,50.7955706,5.6877261,4600,Visé,België / Belgique / Belgien
,50.8420611,5.6713134,6213 GB,Maastricht,Nederland
,50.8411977,5.6724225,6213 CR,Maastricht,Nederland
,50.8390902,5.6920332,6212 BV,Maastricht,Nederland
,50.8521035,5.6635844,6216 BP,Maastricht,Nederland
,50.8523460,5.6641940,6216 CN,Maastricht,Nederland
,50.8555680,5.6811034,6217 SC,Maastricht,Nederland
,50.8415628,5.7082198,6221,Maastricht,Nederland
,50.8413391,5.7083704,6221,Maastricht,Nederland
,50.8417205,5.7083738,6221,Maastricht,Nederland
,50.8419227,5.7088766,6221,Maastricht,Nederland
,50.8420312,5.7092426,6221,Maastricht,Nederland
,50.8424509,5.7099576,6221,Maastricht,Nederland
,50.9098613,5.6972390,3620,Lanaken,België / Belgique / Belgien
,50.9100697,5.6940161,,Lanaken,België / Belgique / Belgien
,50.8421256,5.7143116,6224 LS,Maastricht,Nederland
,50.9231013,5.7255502,3631,Maasmechelen,België / Belgique / Belgien
,50.9238364,5.7244012,3631,Maasmechelen,België / Belgique / Belgien
,50.9206997,5.7072794,3631,Maasmechelen,België / Belgique / Belgien
,50.8554012,5.6460950,6216 GK,Maastricht,Nederland
,50.8517800,5.6638752,6216 BP,Maastricht,Nederland
,50.7720236,5.7190502,6245 JN,Eijsden,Nederland
,50.8470278,5.7701215,6268 NA,Bemelen,Nederland
,50.8510634,5.6664756,6216 CW,Maastricht,Nederland
,50.8561337,5.6540176,6216 AH,Maastricht,Nederland
,50.8524372,5.7115092,6224 EM,Maastricht,Nederland
,50.8371529,5.6858566,6212 NH,Maastricht,Nederland
,50.8339926,5.6846530,6212 NH,Maastricht,Nederland
,50.8700430,5.7927459,6301 KA,Valkenburg,Nederland
,50.8699583,5.7946557,6301 KA,Valkenburg,Nederland
,50.8692406,5.7913766,6301 KA,Valkenburg,Nederland
,50.9175402,5.7719976,6235 AN,Ulestraten,Nederland
